,股票名称,股票代码,所属中证行业(2016) [行业类别]1级,所属中证行业(2016) [行业类别]2级,所属中证行业(2016) [行业类别]3级,所属中证行业(2016) [行业类别]4级,股票风格分类
东莞控股,000828.SZ,工业,交通运输,交通基本设施,高速公路,成长型
天音控股,000829.SZ,可选消费,零售业,其他零售,其他零售,混合型
鲁西化工,000830.SZ,原材料,原材料,化学原料,化学原料,价值型
五矿稀土,000831.SZ,原材料,原材料,有色金属,稀有金属,成长型
粤桂股份,000833.SZ,工业,资本品,工业集团企业,工业集团企业,成长型
*ST长动,000835.SZ,信息技术,计算机运用,互联网服务,移动互联网信息服务,价值型
富通信息,000836.SZ,电信业务,通信设备,通信设备,通信传输设备,价值型
秦川机床,000837.SZ,工业,资本品,机械制造,通用机械,价值型
财信发展,000838.SZ,金融地产,房地产,房地产开发与园区,房地产开发,成长型
中信国安,000839.SZ,可选消费,传媒,传媒,广播与有线电视,价值型
承德露露,000848.SZ,主要消费,食品、饮料与烟草,饮料,软饮料,价值型
华茂股份,000850.SZ,可选消费,耐用消费品与服装,纺织服装,纺织品,成长型
高鸿股份,000851.SZ,信息技术,计算机及电子设备,电子设备,电脑及电子设备经销商,价值型
石化机械,000852.SZ,能源,能源,能源开采设备与服务,石油与天然气开采设备与服务,混合型
冀东装备,000856.SZ,工业,资本品,机械制造,其他机械设备,成长型
五粮液,000858.SZ,主要消费,食品、饮料与烟草,饮料,白酒,混合型
国风塑业,000859.SZ,原材料,原材料,化学制品,塑料制品,成长型
顺鑫农业,000860.SZ,主要消费,食品、饮料与烟草,饮料,白酒,价值型
海印股份,000861.SZ,金融地产,房地产,房地产管理与服务,房地产管理与服务,价值型
银星能源,000862.SZ,公用事业,公用事业,电力,新能源发电,混合型
三湘印象,000863.SZ,金融地产,房地产,房地产开发与园区,房地产开发,价值型
安凯客车,000868.SZ,可选消费,汽车与汽车零部件,汽车与摩托车,汽车,价值型
张裕A,000869.SZ,主要消费,食品、饮料与烟草,饮料,葡萄酒及其他,价值型
吉电股份,000875.SZ,公用事业,公用事业,电力,火电,混合型
新希望,000876.SZ,主要消费,食品、饮料与烟草,农牧渔产品,其他农产品,成长型
天山股份,000877.SZ,原材料,原材料,建筑材料,水泥,价值型
云南铜业,000878.SZ,原材料,原材料,有色金属,铜,混合型
潍柴重机,000880.SZ,工业,资本品,机械制造,通用机械,成长型
中广核技,000881.SZ,原材料,原材料,化学制品,其他化学制品,混合型
华联股份,000882.SZ,金融地产,房地产,房地产管理与服务,房地产管理与服务,混合型
湖北能源,000883.SZ,公用事业,公用事业,电力,水电,混合型
城发环境,000885.SZ,工业,交通运输,交通基本设施,高速公路,价值型
海南高速,000886.SZ,金融地产,房地产,房地产开发与园区,房地产开发,价值型
中鼎股份,000887.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,价值型
峨眉山A,000888.SZ,可选消费,消费者服务,酒店、餐馆与休闲,景点,价值型
中嘉博创,000889.SZ,电信业务,电信服务,电信增值服务,电信增值服务,混合型
法尔胜,000890.SZ,原材料,原材料,钢铁,钢铁,价值型
欢瑞世纪,000892.SZ,可选消费,传媒,传媒,电影与娱乐,价值型
亚钾国际,000893.SZ,原材料,原材料,化学制品,化肥与农药,混合型
双汇发展,000895.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,价值型
津滨发展,000897.SZ,金融地产,房地产,房地产开发与园区,园区,成长型
鞍钢股份,000898.SZ,原材料,原材料,钢铁,钢铁,价值型
赣能股份,000899.SZ,公用事业,公用事业,电力,火电,成长型
现代投资,000900.SZ,工业,交通运输,交通基本设施,高速公路,混合型
航天科技,000901.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
新洋丰,000902.SZ,原材料,原材料,化学制品,化肥与农药,混合型
云内动力,000903.SZ,工业,资本品,机械制造,通用机械,成长型
厦门港务,000905.SZ,工业,交通运输,交通基本设施,港口,成长型
浙商中拓,000906.SZ,工业,商业服务与用品,商业服务与用品,工业品贸易商,混合型
景峰医药,000908.SZ,医药卫生,医药生物,制药,化学药,价值型
数源科技,000909.SZ,金融地产,房地产,房地产开发与园区,房地产开发,混合型
大亚圣象,000910.SZ,原材料,原材料,纸类与林业产品,林业产品,价值型
南宁糖业,000911.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,混合型
泸天化,000912.SZ,原材料,原材料,化学制品,化肥与农药,成长型
钱江摩托,000913.SZ,可选消费,汽车与汽车零部件,汽车与摩托车,摩托车,混合型
华特达因,000915.SZ,医药卫生,医药生物,制药,化学药,混合型
电广传媒,000917.SZ,可选消费,传媒,传媒,广播与有线电视,混合型
嘉凯城,000918.SZ,金融地产,房地产,房地产开发与园区,房地产开发,混合型
金陵药业,000919.SZ,医药卫生,医药生物,制药,化学药,价值型
南方汇通,000920.SZ,原材料,原材料,化学制品,其他化学制品,混合型
海信家电,000921.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,价值型
佳电股份,000922.SZ,工业,资本品,电气设备,电气部件与设备,成长型
河钢资源,000923.SZ,原材料,原材料,钢铁,钢铁,价值型
众合科技,000925.SZ,工业,资本品,机械制造,铁路设备,混合型
福星股份,000926.SZ,金融地产,房地产,房地产开发与园区,房地产开发,混合型
中国铁物,000927.SZ,可选消费,汽车与汽车零部件,汽车与摩托车,汽车,价值型
中钢国际,000928.SZ,工业,资本品,建筑与工程,土木工程,价值型
兰州黄河,000929.SZ,主要消费,食品、饮料与烟草,饮料,啤酒,价值型
中粮科技,000930.SZ,主要消费,食品、饮料与烟草,农牧渔产品,其他农产品,价值型
中关村,000931.SZ,医药卫生,医药生物,制药,化学药,混合型
华菱钢铁,000932.SZ,原材料,原材料,钢铁,钢铁,价值型
神火股份,000933.SZ,原材料,原材料,有色金属,铝,混合型
四川双马,000935.SZ,原材料,原材料,建筑材料,水泥,价值型
华西股份,000936.SZ,原材料,原材料,化学制品,纤维及树脂,价值型
冀中能源,000937.SZ,能源,能源,煤炭,煤炭,价值型
紫光股份,000938.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,混合型
南天信息,000948.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,成长型
新乡化纤,000949.SZ,原材料,原材料,化学制品,纤维及树脂,价值型
重药控股,000950.SZ,医药卫生,医药生物,制药,药品经销商,成长型
中国重汽,000951.SZ,工业,资本品,机械制造,商用货车,价值型
广济药业,000952.SZ,医药卫生,医药生物,制药,化学药,混合型
河化股份,000953.SZ,原材料,原材料,化学制品,化肥与农药,混合型
欣龙控股,000955.SZ,可选消费,耐用消费品与服装,纺织服装,纺织品,成长型
中通客车,000957.SZ,可选消费,汽车与汽车零部件,汽车与摩托车,汽车,价值型
东方能源,000958.SZ,金融地产,其他金融,其他金融服务,其它综合性金融服务,混合型
首钢股份,000959.SZ,原材料,原材料,钢铁,钢铁,价值型
锡业股份,000960.SZ,原材料,原材料,有色金属,其它有色金属及合金,价值型
中南建设,000961.SZ,金融地产,房地产,房地产开发与园区,房地产开发,混合型
东方钽业,000962.SZ,原材料,原材料,有色金属,稀有金属,混合型
华东医药,000963.SZ,医药卫生,医药生物,制药,药品经销商,混合型
天保基建,000965.SZ,金融地产,房地产,房地产开发与园区,房地产开发,价值型
长源电力,000966.SZ,公用事业,公用事业,电力,火电,混合型
盈峰环境,000967.SZ,工业,资本品,环保设备、工程与服务,环保服务,价值型
蓝焰控股,000968.SZ,能源,能源,石油与天然气,石油与天然气的勘探与生产,混合型
安泰科技,000969.SZ,原材料,原材料,有色金属,其它有色金属及合金,价值型
中科三环,000970.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,混合型
ST高升,000971.SZ,信息技术,计算机运用,互联网服务,互联网信息服务,价值型
*ST中基,000972.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,价值型
佛塑科技,000973.SZ,原材料,原材料,化学制品,塑料制品,混合型
银泰黄金,000975.SZ,原材料,原材料,有色金属,黄金及其它贵金属,混合型
华铁股份,000976.SZ,工业,资本品,机械制造,铁路设备,混合型
浪潮信息,000977.SZ,信息技术,计算机及电子设备,电脑与外围设备,电脑与外围设备,成长型
桂林旅游,000978.SZ,可选消费,消费者服务,酒店、餐馆与休闲,景点,价值型
*ST众泰,000980.SZ,可选消费,汽车与汽车零部件,汽车与摩托车,汽车,价值型
*ST银亿,000981.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
中银绒业,000982.SZ,可选消费,耐用消费品与服装,纺织服装,纺织品,混合型
山西焦煤,000983.SZ,能源,能源,煤炭,煤炭,价值型
大庆华科,000985.SZ,原材料,原材料,化学制品,其他化学制品,成长型
越秀金控,000987.SZ,金融地产,资本市场,资本市场,综合性资本市场,成长型
华工科技,000988.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,成长型
九芝堂,000989.SZ,医药卫生,医药生物,制药,中药,价值型
诚志股份,000990.SZ,原材料,原材料,化学制品,其他化学制品,价值型
闽东电力,000993.SZ,公用事业,公用事业,电力,水电,价值型
皇台酒业,000995.SZ,主要消费,食品、饮料与烟草,饮料,白酒,成长型
中国中期,000996.SZ,可选消费,汽车与汽车零部件,汽车与摩托车,汽车经销商与汽车服务,价值型
新大陆,000997.SZ,信息技术,计算机运用,软件开发,软件开发,混合型
隆平高科,000998.SZ,主要消费,食品、饮料与烟草,农牧渔产品,其他农产品,混合型
华润三九,000999.SZ,医药卫生,医药生物,制药,中药,价值型
东瑞股份,001201.SZ,主要消费,食品、饮料与烟草,农牧渔产品,畜牧产品,成长型
炬申股份,001202.SZ,工业,交通运输,航空货运与物流,物流,成长型
大中矿业,001203.SZ,原材料,原材料,钢铁,钢铁,成长型
盛航股份,001205.SZ,工业,交通运输,航运,航运,成长型
依依股份,001206.SZ,主要消费,家庭与个人用品,家常用品,家常用品,成长型
联科科技,001207.SZ,原材料,原材料,化学原料,化学原料,成长型
华菱线缆,001208.SZ,工业,资本品,电气设备,电气部件与设备,成长型
洪兴股份,001209.SZ,可选消费,耐用消费品与服装,纺织服装,服装服饰,成长型
金房节能,001210.SZ,公用事业,公用事业,供热或其他公用事业,供热或其他公用事业,成长型
双枪科技,001211.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用器具与特殊消费品,成长型
中旗新材,001212.SZ,工业,资本品,建筑产品,建筑产品,混合型
中铁特货,001213.SZ,工业,交通运输,道路运输,铁路运输,成长型
千味央厨,001215.SZ,主要消费,食品与主要用品零售,食品与主要用品零售,食品经销商,成长型
宗申动力,001696.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,成长型
招商港口,001872.SZ,工业,交通运输,交通基本设施,港口,成长型
豫能控股,001896.SZ,公用事业,公用事业,电力,火电,混合型
招商积余,001914.SZ,金融地产,房地产,房地产管理与服务,房地产管理与服务,混合型
招商公路,001965.SZ,工业,交通运输,交通基本设施,高速公路,价值型
招商蛇口,001979.SZ,金融地产,房地产,房地产开发与园区,园区,价值型
新和成,002001.SZ,医药卫生,医药生物,制药,化学药,混合型
鸿达兴业,002002.SZ,原材料,原材料,化学原料,化学原料,混合型
伟星股份,002003.SZ,可选消费,耐用消费品与服装,纺织服装,服装服饰,价值型
华邦健康,002004.SZ,原材料,原材料,化学制品,化肥与农药,成长型
ST德豪,002005.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,价值型
精功科技,002006.SZ,工业,资本品,机械制造,其他机械设备,混合型
华兰生物,002007.SZ,医药卫生,医药生物,生物科技,生物科技,成长型
大族激光,002008.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,价值型
天奇股份,002009.SZ,工业,资本品,机械制造,其他机械设备,混合型
传化智联,002010.SZ,工业,交通运输,航空货运与物流,物流,混合型
盾安环境,002011.SZ,工业,资本品,机械制造,通用机械,价值型
凯恩股份,002012.SZ,原材料,原材料,纸类与林业产品,纸制品,成长型
中航机电,002013.SZ,工业,资本品,航空航天与国防,航空航天与国防,混合型
永新股份,002014.SZ,原材料,原材料,容器与包装,金属与玻璃容器,价值型
协鑫能科,002015.SZ,公用事业,公用事业,电力,新能源发电,价值型
世荣兆业,002016.SZ,金融地产,房地产,房地产开发与园区,房地产开发,成长型
东信和平,002017.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,混合型
亿帆医药,002019.SZ,医药卫生,医药生物,制药,化学药,价值型
京新药业,002020.SZ,医药卫生,医药生物,制药,化学药,价值型
ST中捷,002021.SZ,工业,资本品,机械制造,其他机械设备,价值型
科华生物,002022.SZ,医药卫生,医药生物,生物科技,生物科技,成长型
海特高新,002023.SZ,工业,资本品,航空航天与国防,航空航天与国防,混合型
苏宁易购,002024.SZ,可选消费,零售业,其他零售,其他零售,混合型
航天电器,002025.SZ,工业,资本品,航空航天与国防,航空航天与国防,混合型
山东威达,002026.SZ,工业,资本品,机械制造,通用机械,混合型
分众传媒,002027.SZ,可选消费,传媒,传媒,营销与广告,价值型
思源电气,002028.SZ,工业,资本品,电气设备,电气部件与设备,混合型
七匹狼,002029.SZ,可选消费,耐用消费品与服装,纺织服装,服装服饰,价值型
达安基因,002030.SZ,医药卫生,医药生物,生物科技,生物科技,成长型
巨轮智能,002031.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,价值型
苏泊尔,002032.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,价值型
丽江股份,002033.SZ,可选消费,消费者服务,酒店、餐馆与休闲,景点,价值型
旺能环境,002034.SZ,工业,资本品,环保设备、工程与服务,环保服务,价值型
华帝股份,002035.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,价值型
联创电子,002036.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,混合型
保利联合,002037.SZ,原材料,原材料,化学制品,其他化学制品,混合型
双鹭药业,002038.SZ,医药卫生,医药生物,生物科技,生物科技,混合型
黔源电力,002039.SZ,公用事业,公用事业,电力,水电,价值型
